Name ,Locaity,City,No Broker URL,SV
Mahindra World City,maraimalai nagar,chennai,https://www.nobroker.in/mahindra-world-city-maraimalai-nagar_chennai-prjt-5ba1bad8714b56945b46e0da,90500
Godrej One ,Vikhroli East,Mumbai,https://www.nobroker.in/godrej-one-vikhroli-mumbai_mumbai-prjt-63aac058fe7c570001d73e99,74000
Magnum Towers,sector 58,Gurgaon,https://www.nobroker.in/magnum-towers-sector-58_gurgaon-prjt-5da447b8f62b7e9961d6fa16,40500
M3M Golfestate,Sector 65,Gurgaon,https://www.nobroker.in/m3m-golfestate-sector-65_delhi-prjt-5da43c2c0e3bcc90ab696c31,40500
Oberoi Splendor,jogeshwari east,Mumbai,https://www.nobroker.in/oberoi-splendor-jogeshwari-east_mumbai-prjt-5bac1ede714b564981dc5f2a,40500
Tara Apartment,ulsoor,Bangalore,https://www.nobroker.in/tara-apartments-ulsoor_bangalore-prjt-5ba009ad714b568105761c63,40500
sunrise apartments,Kodichikknahalli,Bangalore,https://www.nobroker.in/sunrise-apartment-kodichikknahalli_bangalore-prjt-5e9732daa5a1662dac0ac017,40500
Sri Sai Residency,Bommanahalli,Bangalore,https://www.nobroker.in/sri-sai-residency-bommanahalli-bengaluru_bangalore-prjt-5e973157a5a1662dac0aaf05 ,40500
Vatika City,Sector 83,Gurgaon,https://www.nobroker.in/vatika-city-sector-49_gurgaon-prjt-5ba00ebd714b5687a7dc8c16,33100
diamond district,domlur,Bangalore,https://www.nobroker.in/diamond-district-domlur_bangalore-prjt-5ba009ad714b568105761945,33100
Alpine Eco Apartments,doddanekkundi,Bangalore,https://www.nobroker.in/alpine-eco-apartments-doddanekkundi_bangalore-prjt-5ba009ad714b568105760eaa ,33100
EIPL Cornerstone,Puppalaguda,Hyderabad,https://www.nobroker.in/eipl-cornerstone-puppalaguda-hyderabad_hyderabad-prjt-66311872061951369a4d3a3e,27100
Surya Apartment,breach candy,Mumbai,https://www.nobroker.in/surya-apartment-breach-candy_mumbai-prjt-m1d7x0j8c0w7n8l7u1v9q4f7,27100
Puravankara Windermere,pallikaranai,chennai,https://www.nobroker.in/puravankara-windermere-pallikaranai-chennai_chennai-prjt-5e97339aa5a1662dac0ac943,27100
Venus Apartment,teynampet,chennai,https://www.nobroker.in/venus-apartment-teynampet_chennai-prjt-63ac04d1696fd200015cf7fe,27100
Golden Enclave,Chetpet,chennai,https://www.nobroker.in/golden-enclave-chetpet_chennai-prjt-5ba1bad8714b56945b46e185 ,22200
Balaji Tower,nerul,Mumbai,https://www.nobroker.in/balaji-tower-nerul_mumbai-prjt-5bac1ede714b564981dcd227,18100
RG Luxury Homes,Sector 16B,Noida,https://www.nobroker.in/rg-luxury-homes--noida-extension-greater-noida_noida-prjt-5da447b8f62b7e9961d6f748,14800
Indiabulls Enigma,Sector 110,Gurgaon,https://www.nobroker.in/indiabulls-enigma-sector-110_gurgaon-prjt-5ba00ebd714b5687a7dc8e24,14800
Dosti Flamingos,sewri,Mumbai,https://www.nobroker.in/dosti-flamingos-sewri_mumbai-prjt-5bac1ede714b564981dc74e0,14800
Orchid Suburbia,kandivali west,Mumbai,https://www.nobroker.in/orchid-suburbia-kandivali-west_mumbai-prjt-5bac1ede714b564981dc68e6,14800
Gardenia Gateway,Sector 75,Noida,https://www.nobroker.in/gardenia-gateway-sector-75_noida-prjt-5da43363847a135638672413,12100
Panchsheel Wellington,Crossing Republik,Ghaziabad,https://www.nobroker.in/panchsheel-wellington-crossings-republik_ghaziabad-prjt-5da448253931e7f57a2d0bae,12100
Anmol Residency,Wakad,Pune,https://www.nobroker.in/anmol-residency--wakad-pune_pune-prjt-5ba3f027714b56aa085713b9,12100
Swastik Residency,kavesar,Mumbai,https://www.nobroker.in/swastik-residency-thane-west_mumbai-prjt-5bac1ede714b564981dd0731,12100
Regency Heights,thane,Mumbai,https://www.nobroker.in/regency-heights-thane-west_mumbai-prjt-5e97425ca5a1662dac0b618b,12100
Mahindra Aura,Sector 110 A,Gurgaon,https://www.nobroker.in/mahindra-aura-sector-110a_gurgaon-prjt-5ba00ebd714b5687a7dc8e0e,9900
Whisper Valley,Jubilee Hills,Hyderabad,https://www.nobroker.in/whisper-valley-jubilee-hills_hyderabad-prjt-5d01a7d6714b561a44cc351b,9900
